I0616 21:38:08.591594  3516 server.go:1318] Starting language server process with pid 3516
W0616 21:38:09.423923  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.423923  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.424925  3516 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.424925  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.425434  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.425434  3516 client.go:82] failed to set auth token
W0616 21:38:09.425434  3516 cli_setting_manager.go:242] cli settings not available, using defaults: failed to read cli settings: open C:/Users/NETCOM/.gemini/antigravity-cli/settings.json: The system cannot find the file specified.
I0616 21:38:09.425434  3516 cli_setting_manager.go:68] config.json not found or unreadable, using CLI settings only: open C:/Users/NETCOM/.gemini/config/config.json: The system cannot find the file specified.
I0616 21:38:09.425434  3516 cli_setting_manager.go:663] Skipping telemetry propagation because user is not logged in
I0616 21:38:09.425937  3516 cli_setting_manager.go:80] CLI settings initialized: permissions=<nil>, toolPermission=request-review
I0616 21:38:09.426412  3516 manager.go:453] CLI store manager initialized successfully
I0616 21:38:09.426412  3516 common.go:393] CLI store manager created successfully
I0616 21:38:09.426412  3516 cli_setting_manager.go:199] ApplyProjectPermissionGrants: no grants for project "C:\\Users\\NETCOM\\agy-cli-projects", cleared project permissions
I0616 21:38:09.426915  3516 quota_manager.go:63] quotaRefreshLoop: skipped (not logged in)
I0616 21:38:09.431353  3516 common.go:524] Starting CLI program
CLI ready for user input (startup took 12.938ms)
ERROR: logging before google.Init: I0616 21:38:09.437450     153 terminal_info_manager.go:160] Terminal detection: TERM="" altScreen=false ssh=false
I0616 21:38:09.438201  3516 manager.go:1319] Reloading system slash commands and skills
I0616 21:38:09.438201  3516 manager.go:1295] Reloading system slash commands
W0616 21:38:09.438201  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.438201  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.438740  3516 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.438740  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0616 21:38:09.438740  3516 gemini_extensions.go:28] Detecting Gemini extensions in C:\Users\NETCOM\.gemini\extensions
I0616 21:38:09.438740  3516 gemini_extensions.go:49] No extensions found
E0616 21:38:09.438740  3516 server.go:413] failed to get model config: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0616 21:38:09.438740  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:38:09.442462  3516 encoder_embed.go:85] Installing/updating embedded webm_encoder binary to C:\Users\NETCOM\.gemini\antigravity-cli\bin\webm_encoder.exe
W0616 21:38:09.442462  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.442462  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.445283  3516 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.445283  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.445785  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.445785  3516 client.go:82] failed to set auth token
I0616 21:38:09.488642  3516 manager.go:717] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0616 21:38:09.873391  3516 auth.go:114] ChainedAuth: authenticated via keyring (effective: keyring)
I0616 21:38:09.873391  3516 server_oauth.go:212] applyAuthResult: email=shibinsp45@gmail.com, authMethod=consumer, quotaProject=
I0616 21:38:09.873391  3516 server_oauth.go:217] OAuth: authenticated successfully as shibinsp45@gmail.com
I0616 21:38:09.873391  3516 server_oauth.go:223] b.codeAssistClient.AuthProvider (0xab23ce84580) is same as b.cliAuth (0xab23ce84580)
I0616 21:38:13.309817  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x6a083d69136294ce
I0616 21:38:14.644970  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x9246010b1e2b47d4
I0616 21:38:14.649770  3516 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0616 21:38:14.649770  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0616 21:38:15.514070  3516 input_loop.go:518] Auth done received, triggering experiment refresh
I0616 21:38:15.514070  3516 experiment_manager.go:35] Starting experiment refresh after login
I0616 21:38:16.644921  3516 experiment_manager.go:39] Experiments refreshed after login
I0616 21:38:16.644921  3516 manager.go:1295] Reloading system slash commands
I0616 21:38:18.281474  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x6745432edce154bb
I0616 21:38:21.147845  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x18a943f5476c99ce
I0616 21:38:21.865160  3516 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0616 21:38:21.865160  3516 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0616 21:38:21.865734  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0616 21:38:22.684275  3516 input_loop.go:518] Auth done received, triggering experiment refresh
I0616 21:38:22.684275  3516 experiment_manager.go:35] Starting experiment refresh after login
I0616 21:38:22.759612  3516 input_loop.go:518] Auth done received, triggering experiment refresh
I0616 21:38:22.759612  3516 experiment_manager.go:35] Starting experiment refresh after login
I0616 21:38:23.300650  3516 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0616 21:38:23.301432  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0616 21:38:23.316196  3516 experiment_manager.go:39] Experiments refreshed after login
I0616 21:38:23.317199  3516 manager.go:1295] Reloading system slash commands
I0616 21:38:23.321055  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:38:23.608012  3516 experiment_manager.go:39] Experiments refreshed after login
I0616 21:38:23.608653  3516 manager.go:1295] Reloading system slash commands
I0616 21:38:23.615671  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:38:24.218727  3516 input_loop.go:518] Auth done received, triggering experiment refresh
I0616 21:38:24.218727  3516 experiment_manager.go:35] Starting experiment refresh after login
I0616 21:38:24.735968  3516 experiment_manager.go:39] Experiments refreshed after login
I0616 21:38:24.736979  3516 manager.go:1295] Reloading system slash commands
I0616 21:38:24.748653  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:38:25.789594  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xb82a0dc85ce11b34
I0616 21:39:12.352075  3516 manager.go:1319] Reloading system slash commands and skills
I0616 21:39:12.352075  3516 manager.go:1295] Reloading system slash commands
I0616 21:39:12.357720  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:39:31.043857  3516 input_loop.go:34] HandleUserInput called with text: "hello"
I0616 21:39:31.043857  3516 conversation_manager.go:320] Starting new conversation (agent=false)
I0616 21:39:31.043857  3516 server.go:724] Creating new cascade trajectory (agentScript=false)
I0616 21:39:31.043857  3516 server.go:727] Conversation using project ID: a5c30bb2-670c-47f5-9008-0dde9ce751c3
I0616 21:39:31.093535  3516 server.go:755] Created conversation 6b284218-b68c-4df8-b633-5aca70fd92a5
I0616 21:39:31.094096  3516 server.go:2094] GetConversationDetail: found conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (active=true)
I0616 21:39:31.095257  3516 server.go:2094] GetConversationDetail: found conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (active=true)
I0616 21:39:31.095257  3516 conversation_manager.go:367] project: switching to conversation belonging to project ID: a5c30bb2-670c-47f5-9008-0dde9ce751c3
I0616 21:39:31.095257  3516 server.go:1357] Backend project ID updated dynamically to: a5c30bb2-670c-47f5-9008-0dde9ce751c3
I0616 21:39:31.095257  3516 cli_setting_manager.go:199] ApplyProjectPermissionGrants: no grants for project "C:\\Users\\NETCOM\\agy-cli-projects", cleared project permissions
I0616 21:39:31.095900  3516 manager.go:1319] Reloading system slash commands and skills
I0616 21:39:31.095900  3516 manager.go:1295] Reloading system slash commands
I0616 21:39:31.097654  3516 conversation_manager.go:423] project: synced active project to "C:\\Users\\NETCOM\\agy-cli-projects" (id=a5c30bb2-670c-47f5-9008-0dde9ce751c3) and updated workspace cache
I0616 21:39:31.097654  3516 conversation_manager.go:537] Streaming conversation 6b284218-b68c-4df8-b633-5aca70fd92a5
I0616 21:39:31.097654  3516 manager.go:1319] Reloading system slash commands and skills
I0616 21:39:31.097654  3516 manager.go:1295] Reloading system slash commands
I0616 21:39:31.098203  3516 server.go:764] Starting conversation update stream for 6b284218-b68c-4df8-b633-5aca70fd92a5
I0616 21:39:31.098754  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:39:31.098754  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:39:31.099819  3516 manager.go:387] Ignoring IDLE update because we are waiting for RUNNING
I0616 21:39:31.100903  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:39:31.102991  3516 manager.go:1299] Slash commands unchanged, skipping update
I0616 21:39:33.640414  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3fc7e37552c5c05b ResponseID: KnUxaruAN7iskdUPq5H8mAs
I0616 21:39:35.546417  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x4f9bb2e1042da6f7 ResponseID: LXUxat_cEsO6juMP2-2Q2AM
I0616 21:39:37.083779  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x4dba83cfb13d72c1 ResponseID: LnUxaoukKOTtg8UPg56MaA
I0616 21:39:39.166112  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf8672afd38fbf836 ResponseID: MHUxasaFKbLPjuMP-N2iqAE
I0616 21:39:39.336351  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=false)
I0616 21:40:12.921389  3516 input_loop.go:34] HandleUserInput called with text: "switch model"
I0616 21:40:12.921911  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:12.921911  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:17.371093  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf174f99a14b81ca4 ResponseID: VHUxaqzeFIfx4-EPkIqNgAE
I0616 21:40:17.395838  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:40:27.267038  3516 input_loop.go:34] HandleUserInput called with text: "switch modelyes"
I0616 21:40:27.267584  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:27.267584  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:29.907771  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb5f30b61b67dad00 ResponseID: YnUxavr6LKnXjuMP7OWVyAw
I0616 21:40:30.082850  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:40:36.399654  3516 input_loop.go:34] HandleUserInput called with text: "ok"
I0616 21:40:36.400178  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:36.400178  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:40:39.067313  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc9a4216d6dcd2e22 ResponseID: bHUxao-FEMWsjuMPu-rLkAE
I0616 21:40:39.233118  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:42:02.791353  3516 input_loop.go:34] HandleUserInput called with text: "logout"
I0616 21:42:02.792053  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:42:02.792053  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:42:05.395026  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xba2375e62b2f5f96 ResponseID: wnUxapP4EYO3juMP75OloAE
I0616 21:42:05.515765  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 16
I0616 21:42:07.539889  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=16, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:42:07.539889  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 16 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:42:15.442622  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x388f3f01e59d0422 ResponseID: yHUxat9ui4up-Q_TrbXIAw
I0616 21:42:15.474694  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 18
I0616 21:42:55.731431  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=18, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:42:55.731431  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 18 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:42:59.577729  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1d6e69a5a966204a ResponseID: -HUxaqnpLJK44-EPpeW6cQ
I0616 21:42:59.641037  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=false)
I0616 21:43:05.237172  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x2389c07f4f985d3e ResponseID: _XUxap6MOKnYjuMPlO6fyA8
I0616 21:43:05.454876  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:43:56.815809  3516 input_loop.go:34] HandleUserInput called with text: "yes i trust this folder"
I0616 21:43:56.816324  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:43:56.816324  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:43:58.152888  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xfd4db8cca088f6e6
I0616 21:43:59.315323  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf53b49182449becd ResponseID: NHYxasKWE4DFjuMPpMCCWA
I0616 21:43:59.392401  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xc5f345546ac7700c
I0616 21:43:59.450606  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:44:06.811081  3516 input_loop.go:34] HandleUserInput called with text: "yes"
I0616 21:44:06.811619  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:44:06.811619  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:44:08.801905  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x35ae739ee4d2f944 ResponseID: PXYxapjqMaur4-EPxtbWWQ
I0616 21:44:09.015588  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 26
I0616 21:44:20.927183  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=26, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:44:20.927183  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 26 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:44:23.508762  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc6130bcc7d95fd1f ResponseID: THYxaoDrMOaEg8UPkpHasAM
I0616 21:44:23.670269  3516 quota_manager.go:72] quotaRefreshLoop: starting reload (force=false)
I0616 21:44:27.448975  3516 input_loop.go:34] HandleUserInput called with text: "ok"
I0616 21:44:27.449498  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:44:27.449498  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:44:29.807576  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1a25f76413920281 ResponseID: UnYxaqynI_ru4-EPjZnAgAE
I0616 21:44:30.490097  3516 quota_manager.go:68] quotaRefreshLoop: skipped (throttled)
I0616 21:45:39.645331  3516 input_loop.go:34] HandleUserInput called with text: "1"
I0616 21:45:39.645945  3516 conversation_manager.go:463] Forwarding user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:45:39.645945  3516 server.go:1058] Sending user message to conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 (items=1, media=0)
I0616 21:45:42.252209  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x68b924500a185839 ResponseID: mnYxaqr8KNefjuMP2oSTiA8
I0616 21:45:53.440579  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6ef2b35f824af9a3 ResponseID: pnYxaun2IMTPpgfU0q_YAw
I0616 21:46:10.887065  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x92ab6a87360c45a6 ResponseID: tnYxaqjvKeTtg8UPg56MaA
I0616 21:46:24.079398  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5fbea9712b27c078 ResponseID: xXYxapPRC8DYjuMPsfeV-AM
I0616 21:46:24.373752  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 38
I0616 21:46:35.650875  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=38, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:46:35.650875  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 38 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:46:39.430198  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd5256ab88bc0a1c6 ResponseID: 03YxauXtNt2vjuMP5c3p4AI
I0616 21:46:42.179730  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3b40fbbb87c02b9b ResponseID: 13Yxav3fGaur4-EPxtbWWQ
I0616 21:46:42.351208  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 42
I0616 21:46:44.951067  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=42, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:46:44.951067  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 42 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:46:48.531641  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x99ca279e786a7a96 ResponseID: 3XYxauSONOvbjuMPjo6hUA
I0616 21:46:48.692629  3516 tool_confirmation_manager.go:77] Surfacing tool confirmation: "Bash" at step 44
I0616 21:46:50.739510  3516 input_loop.go:459] Responding to tool confirmation: convID=6b284218-b68c-4df8-b633-5aca70fd92a5, stepIdx=44, approved=true, sandboxOverride=false, turnGrants=[]
I0616 21:46:50.739510  3516 server.go:1605] Tool confirmation for conversation 6b284218-b68c-4df8-b633-5aca70fd92a5 step 44 (type=*gemini_coder_go_proto.Step_RunCommand approved=true)
I0616 21:46:56.764265  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x40dd9570af2cdd5d ResponseID: 5XYxatb2EIWs4-EPsI-wCA
I0616 21:47:00.258582  3516 http_helpers.go:186] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x98bb87a6538cc497 ResponseID: 6HYxaojbH5K44-EPpeW6cQ
